statistic_yyymm,site_id,village,birth_total,birth_total_m,birth_total_f,death_total,death_m,death_f,marry_pair,divorce_pair
統計年月,區域別,村里,出生數,出生數-男,出生數-女,死亡數,死亡數-男,死亡數-女,結婚對數,離婚對數
10607,新北市板橋區,留侯里,0,0,0,0,0,0,4,0
10607,新北市板橋區,流芳里,6,2,4,1,1,0,1,0
10607,新北市板橋區,赤松里,0,0,0,0,0,0,0,0
10607,新北市板橋區,黃石里,0,0,0,0,0,0,1,0
10607,新北市板橋區,挹秀里,2,2,0,0,0,0,1,0
10607,新北市板橋區,湳興里,4,3,1,1,1,0,3,0
10607,新北市板橋區,新興里,3,2,1,2,2,0,1,1
10607,新北市板橋區,社後里,3,2,1,9,8,1,1,3
10607,新北市板橋區,香社里,6,3,3,2,1,1,2,1
10607,新北市板橋區,中正里,5,3,2,1,1,0,4,0
10607,新北市板橋區,自強里,2,0,2,2,0,2,2,1
10607,新北市板橋區,自立里,3,2,1,3,1,2,1,0
10607,新北市板橋區,光華里,1,0,1,1,1,0,2,0
10607,新北市板橋區,國光里,3,2,1,1,1,0,2,1
10607,新北市板橋區,港尾里,3,1,2,1,1,0,2,2
10607,新北市板橋區,金華里,4,1,3,2,1,1,1,1
10607,新北市板橋區,港德里,6,4,2,3,2,1,1,1
10607,新北市板橋區,民權里,3,2,1,2,2,0,0,0
10607,新北市板橋區,建國里,4,3,1,1,0,1,3,0
10607,新北市板橋區,漢生里,1,0,1,3,2,1,3,1
10607,新北市板橋區,公舘里,5,1,4,3,0,3,0,1
10607,新北市板橋區,新民里,5,1,4,4,3,1,1,3
10607,新北市板橋區,幸福里,4,2,2,2,1,1,1,1
10607,新北市板橋區,忠誠里,3,1,2,3,1,2,1,1
10607,新北市板橋區,百壽里,1,0,1,4,1,3,2,1
10607,新北市板橋區,介壽里,1,1,0,1,1,0,0,1
10607,新北市板橋區,新埔里,1,1,0,0,0,0,2,0
10607,新北市板橋區,華江里,5,4,1,4,2,2,2,0
10607,新北市板橋區,江翠里,1,0,1,5,2,3,1,0
10607,新北市板橋區,純翠里,1,1,0,3,3,0,3,1
10607,新北市板橋區,溪頭里,2,1,1,5,4,1,2,3
10607,新北市板橋區,聯翠里,0,0,0,3,1,2,0,0
10607,新北市板橋區,宏翠里,1,1,0,7,4,3,3,1
10607,新北市板橋區,仁翠里,2,1,1,2,1,1,4,0
10607,新北市板橋區,新翠里,4,1,3,5,3,2,6,2
10607,新北市板橋區,吉翠里,2,1,1,3,1,2,2,1
10607,新北市板橋區,德翠里,10,7,3,4,2,2,3,3
10607,新北市板橋區,滿翠里,3,0,3,1,1,0,1,0
10607,新北市板橋區,明翠里,1,1,0,3,1,2,2,1
10607,新北市板橋區,松翠里,3,3,0,2,2,0,1,0
10607,新北市板橋區,柏翠里,4,2,2,1,0,1,2,2
10607,新北市板橋區,龍翠里,7,6,1,0,0,0,3,0
10607,新北市板橋區,華翠里,5,2,3,0,0,0,0,0
10607,新北市板橋區,忠翠里,6,5,1,3,1,2,6,2
10607,新北市板橋區,嵐翠里,1,0,1,2,1,1,0,0
10607,新北市板橋區,文翠里,4,3,1,2,1,1,5,1
10607,新北市板橋區,青翠里,0,0,0,2,2,0,0,0
10607,新北市板橋區,懷翠里,4,1,3,4,1,3,3,0
10607,新北市板橋區,福翠里,0,0,0,1,0,1,2,0
10607,新北市板橋區,港嘴里,1,1,0,3,2,1,3,2
10607,新北市板橋區,振興里,0,0,0,2,2,0,1,1
10607,新北市板橋區,振義里,2,1,1,0,0,0,4,0
10607,新北市板橋區,光復里,0,0,0,4,1,3,0,2
10607,新北市板橋區,埔墘里,6,3,3,4,1,3,1,0
10607,新北市板橋區,長壽里,3,1,2,1,0,1,1,1
10607,新北市板橋區,福壽里,4,2,2,2,1,1,6,1
10607,新北市板橋區,海山里,6,3,3,2,2,0,6,0
10607,新北市板橋區,九如里,0,0,0,3,2,1,4,1
10607,新北市板橋區,玉光里,6,4,2,4,2,2,0,2
10607,新北市板橋區,光仁里,0,0,0,2,2,0,0,2
10607,新北市板橋區,埤墘里,2,2,0,2,0,2,1,2
10607,新北市板橋區,永安里,0,0,0,3,2,1,2,1
10607,新北市板橋區,雙玉里,4,1,3,1,1,0,2,1
10607,新北市板橋區,廣新里,0,0,0,1,0,1,0,0
10607,新北市板橋區,深丘里,10,4,6,3,3,0,3,3
10607,新北市板橋區,香丘里,1,1,0,2,1,1,4,0
10607,新北市板橋區,西安里,3,2,1,1,0,1,3,1
10607,新北市板橋區,東丘里,2,2,0,3,3,0,3,3
10607,新北市板橋區,長安里,3,1,2,2,1,1,6,4
10607,新北市板橋區,福丘里,5,1,4,0,0,0,0,0
10607,新北市板橋區,福祿里,2,1,1,3,2,1,2,1
10607,新北市板橋區,民族里,3,2,1,2,2,0,1,1
10607,新北市板橋區,國泰里,3,2,1,1,1,0,2,0
10607,新北市板橋區,福德里,7,3,4,2,0,2,3,4
10607,新北市板橋區,景星里,0,0,0,3,1,2,1,1
10607,新北市板橋區,福星里,0,0,0,1,0,1,1,1
